failure,run,e2_tsi,e2_tti,m1_pv,r1_t2,snk1_t,srce1_t,srcr1_t,xc1_sp,k1_p1,k1_p2,snk1_p,srce1_p,srcr1_p,m2_pv,srce1_w,xc2_sp,r1_xmax,r1_tau,snk1_z_c2h4o,snk1_z_c2h4,srcr1_m_c2h4,srcr1_m_o2,xv1_pos,xv2_pos,xv3_pos
lowPressure_source,82,20.002394485167372,724.595972258036,150.0,217.15144332946863,217.15144332946863,20.0,25.0,150.0,0.03354660553244294,22.099999999999977,1.6078166151936488,1.5,0.533546605532443,99.4177777777775,100.0,99.4177777777775,0.2994442979690495,1.1290591808492985,0.016507649216921105,0.2550169606342183,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,83,20.002394485167372,498.8507151327548,150.0,217.1514433294687,217.1514433294687,20.0,25.0,150.0,0.21785946520865287,22.099999999999977,1.6078166151936488,1.5,0.717859465208653,99.4177777777775,100.0,99.4177777777775,0.2994442979690501,1.1290591808492985,0.016507649216921126,0.2550169606342183,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,84,20.002394485167372,514.9297267075702,150.0,217.15144332946863,217.1514433294687,20.0,25.0,150.0,0.18948561584528897,22.099999999999977,1.6078166151936488,1.5,0.689485615845289,99.4177777777775,100.0,99.4177777777775,0.29944429796904964,1.1290591808492985,0.01650764921692111,0.2550169606342183,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,85,20.002394485167372,623.8106088854225,150.0,217.1514433294687,217.15144332946875,20.0,25.0,150.0,0.07558133549337093,22.099999999999977,1.6078166151936488,1.5,0.575581335493371,99.4177777777775,100.0,99.4177777777775,0.29944429796905014,1.1290591808492985,0.01650764921692113,0.2550169606342183,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,86,20.002394485167372,460.7970227068661,150.0,217.15144332946863,217.15144332946875,20.0,25.0,150.0,0.3043296128157429,22.099999999999977,1.6078166151936488,1.5,0.8043296128157429,99.4177777777775,100.0,99.4177777777775,0.2994442979690498,1.1290591808492985,0.016507649216921116,0.2550169606342183,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,87,20.002394485167372,558.9970514851284,150.0,217.1514433294687,217.15144332946875,20.0,25.0,150.0,0.1299266353857569,22.099999999999977,1.6078166151936488,1.5,0.629926635385757,99.4177777777775,100.0,99.4177777777775,0.2994442979690501,1.1290591808492985,0.01650764921692113,0.2550169606342183,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,88,20.002394485167372,451.9677621131166,150.0,217.15144332946863,217.15144332946875,20.0,25.0,150.0,0.329140659707742,22.099999999999977,1.6078166151936488,1.5,0.829140659707742,99.4177777777775,100.0,99.4177777777775,0.29944429796904964,1.1290591808492985,0.016507649216921112,0.2550169606342183,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,89,20.002394485167372,484.9980103364137,150.0,217.1514433294687,217.1514433294688,20.0,25.0,150.0,0.24588722592612292,22.099999999999977,1.6078166151936488,1.5,0.745887225926123,99.4177777777775,100.0,99.4177777777775,0.2994442979690501,1.1290591808492985,0.016507649216921123,0.2550169606342183,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,90,20.002394485167372,486.52067060235504,150.0,217.15144332946863,217.15144332946852,20.0,25.0,150.0,0.2426290497290139,22.099999999999977,1.6078166151936488,1.5,0.742629049729014,99.4177777777775,100.0,99.4177777777775,0.2994442979690495,1.1290591808492985,0.016507649216921102,0.25501696063421836,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,91,20.002394485167372,406.558219887454,150.0,217.1514433294687,217.15144332946846,20.0,25.0,150.0,0.494982958873702,22.099999999999977,1.6078166151936488,1.5,0.994982958873702,99.4177777777775,100.0,99.4177777777775,0.2994442979690499,1.1290591808492985,0.016507649216921123,0.25501696063421836,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,92,20.002394485167372,489.6262133330721,150.0,217.15144332946863,217.1514433294684,20.0,25.0,150.0,0.23612368653499594,22.099999999999977,1.6078166151936488,1.5,0.736123686534996,99.4177777777775,100.0,99.4177777777775,0.2994442979690495,1.1290591808492985,0.016507649216921105,0.25501696063421836,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,93,20.002394485167372,439.51882308666575,150.0,217.1514433294687,217.15144332946858,20.0,25.0,150.0,0.3677925457556689,22.099999999999977,1.6078166151936488,1.5,0.867792545755669,99.4177777777775,100.0,99.4177777777775,0.2994442979690499,1.1290591808492985,0.016507649216921123,0.25501696063421836,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,94,20.002394485167372,642.2890811950039,150.0,217.15144332946863,217.15144332946852,20.0,25.0,150.0,0.0649471315993079,22.099999999999977,1.6078166151936488,1.5,0.564947131599308,99.4177777777775,100.0,99.4177777777775,0.29944429796904964,1.1290591808492985,0.016507649216921112,0.25501696063421836,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,95,20.002394485167372,516.51077387956,150.0,217.1514433294687,217.15144332946852,20.0,25.0,150.0,0.18691358792552598,22.099999999999977,1.6078166151936488,1.5,0.686913587925526,99.4177777777775,100.0,99.4177777777775,0.2994442979690501,1.1290591808492985,0.016507649216921126,0.25501696063421836,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,96,20.002394485167372,882.4218062028946,150.0,217.1514433294687,217.15144332946875,20.0,25.0,150.0,0.010082223779634915,22.099999999999977,1.6078166151936488,1.5,0.510082223779635,99.4177777777775,100.0,99.4177777777775,0.29944429796905025,1.1290591808492985,0.01650764921692113,0.2550169606342183,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,97,20.002394485167372,462.7837114079658,150.0,217.15144332946863,217.15144332946863,20.0,25.0,150.0,0.29902257988010794,22.099999999999977,1.6078166151936488,1.5,0.799022579880108,99.4177777777775,100.0,99.4177777777775,0.2994442979690495,1.1290591808492985,0.016507649216921105,0.2550169606342183,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,98,20.002394485167372,623.5165421983819,150.0,217.1514433294687,217.1514433294687,20.0,25.0,150.0,0.07576470172325393,22.099999999999977,1.6078166151936488,1.5,0.575764701723254,99.4177777777775,100.0,99.4177777777775,0.2994442979690501,1.1290591808492985,0.016507649216921126,0.2550169606342183,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,99,20.002394485167372,407.24396271956266,150.0,217.15144332946863,217.1514433294687,20.0,25.0,150.0,0.4919116251227589,22.099999999999977,1.6078166151936488,1.5,0.991911625122759,99.4177777777775,100.0,99.4177777777775,0.29944429796904964,1.1290591808492985,0.01650764921692111,0.2550169606342183,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,100,20.002394485167372,448.0216760766218,150.0,217.1514433294687,217.15144332946875,20.0,25.0,150.0,0.34090834235498,22.099999999999977,1.6078166151936488,1.5,0.8409083423549801,99.4177777777775,100.0,99.4177777777775,0.29944429796905014,1.1290591808492985,0.01650764921692113,0.2550169606342183,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,101,20.002394485167372,626.3543533611653,150.0,217.15144332946863,217.15144332946875,20.0,25.0,150.0,0.07401455545000893,22.099999999999977,1.6078166151936488,1.5,0.574014555450009,99.4177777777775,100.0,99.4177777777775,0.2994442979690498,1.1290591808492985,0.016507649216921116,0.2550169606342183,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,102,20.002394485167372,509.2366584280305,150.0,217.1514433294687,217.15144332946875,20.0,25.0,150.0,0.1990596138871299,22.099999999999977,1.6078166151936488,1.5,0.69905961388713,99.4177777777775,100.0,99.4177777777775,0.2994442979690501,1.1290591808492985,0.01650764921692113,0.2550169606342183,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,103,20.002394485167372,411.0423897238675,150.0,217.15144332946863,217.15144332946875,20.0,25.0,150.0,0.47525757932476986,22.099999999999977,1.6078166151936488,1.5,0.97525757932477,99.4177777777775,100.0,99.4177777777775,0.29944429796904964,1.1290591808492985,0.016507649216921112,0.2550169606342183,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,104,20.002394485167372,607.9284323568311,150.0,217.1514433294687,217.1514433294688,20.0,25.0,150.0,0.08618805108691988,22.099999999999977,1.6078166151936488,1.5,0.58618805108692,99.4177777777775,100.0,99.4177777777775,0.2994442979690501,1.1290591808492985,0.016507649216921123,0.2550169606342183,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,105,20.002394485167372,495.4901673499244,150.0,217.15144332946863,217.15144332946852,20.0,25.0,150.0,0.22433500647704682,22.099999999999977,1.6078166151936488,1.5,0.7243350064770468,99.4177777777775,100.0,99.4177777777775,0.2994442979690495,1.1290591808492985,0.016507649216921102,0.25501696063421836,4464.0,1195.4,1.0,1.0,0.5
lowPressure_source,106,20.002394485167372,644.2650320731472,150.0,217.1514433294687,217.15144332946846,20.0,25.0,150.0,0.06390718313280389,22.099999999999977,1.6078166151936488,1.5,0.563907183132804,99.4177777777775,100.0,99.4177777777775,0.2994442979690499,1.1290591808492985,0.016507649216921123,0.25501696063421836,4464.0,1195.4,1.0,1.0,0.5
